"pokemon_gen","toxic","gas","muscle","timid","storing","charge","electricity","hollow","silk","spark","sand","spirit","cloak","honey","cold","impressive","magnetism","smell","freeze","magazine","paranormal","expedition","journal","chain","hammer","salt","fireball","apple","set","soul","internal","tusk","breath","snow","fear","ears","hidden","inhabit","twig","restore","sword","ultra","dangerous","wormhole","guardian","iron","overwhelm","source","coal","frigid"
"generation-i",0.0104268797003555,0.00521343985017773,0.00380801486540073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generation-ii",0,0,0,0.0232921333286525,0.0155280888857683,0.0106295222387016,0.00429821669372612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generation-iii",0,0,0,0,0,0,0.00114862636857837,0.0124488644608284,0.00829924297388563,0.00622443223041422,0.00153150182477116,0.00111007868725613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generation-iv",0,0,0,0,0,0,0.00224634408924191,0,0,0,0.00449268817848382,0.00488465372494836,0.0243459786962462,0.0243459786962462,0.0152162366851539,0.0121729893481231,0.0121729893481231,0.00833283876330346,0.00608649467406155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generation-ix",0.00709470470177488,0,0.00345475562474248,0,0,0,0.00382514252932231,0,0,0,0.00382514252932231,0,0,0,0,0,0,0,0.00345475562474248,0.0345475562474248,0.0276380449979399,0.0172737781237124,0.0172737781237124,0.0138190224989699,0.0138190224989699,0.0138190224989699,0.00690951124948497,0.00472980313451659,0.00472980313451659,0.00472980313451659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generation-v",0,0.00444993312655702,0,0,0,0.00444993312655702,0.00299900227890654,0,0,0,0,0.00173901380148556,0,0,0,0,0,0,0.00325033221499441,0,0,0,0,0,0,0,0,0,0,0,0.0195019932899664,0.016251661074972,0.00975099664498322,0.00975099664498322,0.00650066442998882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generation-vi",0,0,0,0,0,0,0,0,0,0,0,0.00438646764852328,0,0,0.008198599169165,0,0,0.0112244581848976,0,0,0,0,0,0,0,0,0,0,0.0168366872773464,0,0,0,0,0,0,0.03279439667666,0.024595797507495,0.024595797507495,0.024595797507495,0.01639719833833,0.01639719833833,0,0,0,0,0,0,0,0,0
"generation-vii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740637497978501,0.0185159374494625,0.0185159374494625,0.0123439582996417,0.0123439582996417,0.0123439582996417,0.0123439582996417,0,0
"generation-viii",0,0,0.00518213343711372,0,0,0,0.00478142816165288,0,0,0,0.00765028505864461,0.0041588679120433,0,0,0.0103642668742274,0,0,0,0,0,0,0,0,0,0,0,0,0.0141894094035498,0,0.00709470470177488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207285337484549,0.0103642668742274
